"WorkerId","cond","trialnum","correct","sex","age","lang","rt","itemnum","trialtype"
"A1BDZFVHI4LH44",2,5,"Y","""M""","""25""","""English""",971,"2vs1","inference"
"A207IHY6GERCFO",2,5,"Y","""M""","""35""","""English""",1750,"2vs1","inference"
"A3RIBFIB7C8D20",1,5,"Y","""F""","""25""","""english""",1734,"3vs1","inference"
"A27O2IILV3S5YS",2,5,"Y","""F""","""35""","""English""",1765,"2vs1","inference"
"A3HNEYFOIJWPH1",2,5,"Y","""M""","""35""","""English""",795,"2vs1","inference"
"AELOYBHVZFDW9",2,5,"Y","""M""","""55""","""english""",1144,"2vs1","inference"
"A2UF2FRGVW4T89",1,5,"Y","""M""","""45""","""English""",939,"3vs1","inference"
"A1XOXGWBAN6HEJ",1,5,"Y","""M""","""35""","""english""",2539,"3vs1","inference"
"A7RAVFS10BUZ1",2,5,"N","""M""","""55""","""English""",2970,"2vs1","inference"
"A2179VLITZ8QHP",2,6,"Y","""M""","""35""","""English""",1834,"2vs2","control_single"
"A1F63RK1PMJS5Y",1,6,"Y","""M""","""35""","""English""",810,"1vs1","control_single"
"A2OYTHYZI938A7",1,6,"Y","""F""","""35""","""English""",867,"1vs1","control_single"
"A2ZH5LDUY5UFD4",1,6,"Y","""M""","""45""","""English""",691,"1vs1","control_single"
"A2RXJXDJ5IWHCF",2,6,"Y","""F""","""35""","""English""",1126,"2vs2","control_single"
"A1Y8MOE9J7CMPQ",1,6,"Y","""M""","""45""","""English""",937,"1vs1","control_single"
"A3LZG0E2BOVFI0",2,6,"Y","""F""","""55""","""English""",1675,"2vs2","control_single"
"A10K8ZSAU26T49",2,6,"Y","""F""","""55""","""English""",2533,"2vs2","control_single"
"AIUKV0KVALMY6",1,6,"Y","""F""","""35""","""english""",738,"1vs1","control_single"
"A3MBIX6DHJS68K",2,6,"Y","""F""","""35""","""English""",1827,"2vs2","control_single"
"A3CD3C99T8S6ON",2,6,"Y","""M""","""25""","""English""",1313,"2vs2","control_single"
"A3SW1BXR31CZY0",1,6,"Y","""M""","""35""","""English""",928,"1vs1","control_single"
"AK467M5VTG7N4",1,6,"Y","""M""","""25""","""English""",1229,"1vs1","control_single"
"A24MK3QPZ1V1L8",1,6,"Y","""M""","""35""","""english""",687,"1vs1","control_single"
"ADKKDK6P4MS1Z",2,6,"Y","""M""","""35""","""english""",2204,"2vs2","control_single"
"A3H369LHNNJ1XR",1,6,"Y","""M""","""25""","""English""",834,"1vs1","control_single"
"AKLG79EPGKTDP",1,6,"Y","""F""","""25""","""English""",432,"1vs1","control_single"
"A1GSIR59HGF3SZ",1,6,"Y","""F""","""35""","""English""",607,"1vs1","control_single"
"A1HBIE5LRTQK1L",1,6,"Y","""M""","""55""","""English""",832,"1vs1","control_single"
"ARI4DPDWL5SZY",2,6,"Y","""M""","""35""","""English""",500,"2vs2","control_single"
"A6IFXOBCV436G",1,6,"Y","""M""","""35""","""english""",896,"1vs1","control_single"
"A2FD57QQWT1J2N",2,6,"Y","""M""","""35""","""english""",784,"2vs2","control_single"
"A1VSHM4NLZ705D",1,6,"Y","""M""","""35""","""English""",639,"1vs1","control_single"
"A38R7SIVV118KT",2,6,"Y","""M""","""65""","""english""",2129,"2vs2","control_single"
"A1QVNF19XSRSD7",1,6,"Y","""M""","""35""","""English""",825,"1vs1","control_single"
"A2T9WRHFRIVAFY",2,6,"Y","""F""","""35""","""English""",984,"2vs2","control_single"
"A1H11P4QSM08Y1",2,6,"Y","""M""","""35""","""english""",1283,"2vs2","control_single"
"A3MQS8KPUMZB9W",1,6,"Y","""F""","""45""","""English""",1197,"1vs1","control_single"
"A1A2X0T1XE8K89",1,6,"Y","""M""","""25""","""english""",958,"1vs1","control_single"
"A3P74FP62XNVYI",1,6,"Y","""M""","""65""","""English""",1313,"1vs1","control_single"
"A302M81U0HM7RJ",1,6,"Y","""M""","""35""","""english""",521,"1vs1","control_single"
"A27BKFN6UB1LDP",2,6,"Y","""F""","""35""","""English""",2284,"2vs2","control_single"
"A2G333PKCQQIA0",2,6,"Y","""F""","""35""","""english""",2116,"2vs2","control_single"
"ALIAR9NKPM4YU",2,6,"Y","""F""","""66""","""English""",1160,"2vs2","control_single"
"A7XL1V3G7C2VV",2,6,"Y","""M""","""25""","""English""",1429,"2vs2","control_single"
"A2UIGDOLX5RV95",1,6,"Y","""F""","""25""","""English""",600,"1vs1","control_single"
"AYCHPTQRYDT7G",1,6,"Y","""F""","""45""","""English""",886,"1vs1","control_single"
"A1H72BVZEDUFZ7",1,6,"Y","""F""","""25""","""English""",1297,"1vs1","control_single"
"A3K7UC7LUKV0ZV",1,6,"Y","""M""","""35""","""English""",814,"1vs1","control_single"
"A1BDZFVHI4LH44",2,6,"Y","""M""","""25""","""English""",657,"2vs2","control_single"
"A207IHY6GERCFO",2,6,"N","""M""","""35""","""English""",1140,"2vs2","control_single"
"A3RIBFIB7C8D20",1,6,"Y","""F""","""25""","""english""",1563,"1vs1","control_single"
"A27O2IILV3S5YS",2,6,"Y","""F""","""35""","""English""",1158,"2vs2","control_single"
"A3HNEYFOIJWPH1",2,6,"Y","""M""","""35""","""English""",1187,"2vs2","control_single"
